date,ewa,ewc
3/11/2009,16.606977,21.624013
4/11/2009,16.742054,21.783143
5/11/2009,16.907149,22.030679
6/11/2009,17.20732,22.012998
9/11/2009,17.98026,22.914735
10/11/2009,18.032792,22.897054
11/11/2009,18.107833,22.994301
12/11/2009,17.747628,22.614156
13/11/2009,18.092826,22.870533
16/11/2009,18.385492,23.082707
17/11/2009,18.107833,23.321401
18/11/2009,18.025287,23.268358
19/11/2009,17.650073,22.914735
20/11/2009,17.484978,22.782127
23/11/2009,17.852689,23.206474
24/11/2009,17.567525,23.003141
25/11/2009,18.002774,23.409806
27/11/2009,17.124773,22.711403
30/11/2009,17.507491,22.905895
1/12/2009,17.935235,23.630821
2/12/2009,17.920226,23.639661
3/12/2009,17.725116,23.206474
4/12/2009,17.650073,22.905895
7/12/2009,17.357405,22.967778
8/12/2009,17.012209,22.455026
9/12/2009,17.117268,22.693721
10/12/2009,17.31238,22.879372
11/12/2009,17.229832,22.640679
14/12/2009,17.387423,22.994301
15/12/2009,17.132277,22.888213
16/12/2009,17.064738,23.109227
17/12/2009,16.802088,22.622997
18/12/2009,16.907149,22.720244
21/12/2009,16.712038,22.852852
22/12/2009,16.808506,23.148228
23/12/2009,17.040027,23.442712
24/12/2009,17.387311,23.540872
28/12/2009,17.425898,23.647958
29/12/2009,17.603398,23.60334
30/12/2009,17.59568,23.371322
31/12/2009,17.62655,23.496254
4/01/2010,18.305681,24.022756
5/01/2010,18.359704,24.156612
6/01/2010,18.42916,24.344012
